case_id,heuristic,start,goal,expected_cost,actual_cost,path_length,visited_nodes,time_sec,cost_error
0,manhattan,"(130, 477)","(131, 476)",2.00000,2.00000,3,3,0.000021,0.00000
0,euclidean,"(130, 477)","(131, 476)",2.00000,2.00000,3,3,0.000033,0.00000
0,diagonal,"(130, 477)","(131, 476)",2.00000,2.00000,3,3,0.000008,0.00000
0,hybrid,"(130, 477)","(131, 476)",2.00000,2.00000,3,3,0.000008,0.00000
1,manhattan,"(509, 60)","(509, 58)",2.00000,2.00000,3,3,0.000009,0.00000
1,euclidean,"(509, 60)","(509, 58)",2.00000,2.00000,3,3,0.000008,0.00000
1,diagonal,"(509, 60)","(509, 58)",2.00000,2.00000,3,3,0.000007,0.00000
1,hybrid,"(509, 60)","(509, 58)",2.00000,2.00000,3,3,0.000008,0.00000
2,manhattan,"(7, 218)","(7, 215)",3.00000,3.00000,4,4,0.000011,0.00000
2,euclidean,"(7, 218)","(7, 215)",3.00000,3.00000,4,4,0.000008,0.00000
2,diagonal,"(7, 218)","(7, 215)",3.00000,3.00000,4,4,0.000007,0.00000
2,hybrid,"(7, 218)","(7, 215)",3.00000,3.00000,4,4,0.000008,0.00000
3,manhattan,"(129, 191)","(129, 189)",2.00000,2.00000,3,3,0.000005,0.00000
3,euclidean,"(129, 191)","(129, 189)",2.00000,2.00000,3,3,0.000006,0.00000
3,diagonal,"(129, 191)","(129, 189)",2.00000,2.00000,3,3,0.000005,0.00000
3,hybrid,"(129, 191)","(129, 189)",2.00000,2.00000,3,3,0.000006,0.00000
4,manhattan,"(220, 107)","(219, 107)",1.00000,1.00000,2,2,0.000003,0.00000
4,euclidean,"(220, 107)","(219, 107)",1.00000,1.00000,2,2,0.000003,0.00000
4,diagonal,"(220, 107)","(219, 107)",1.00000,1.00000,2,2,0.000003,0.00000
4,hybrid,"(220, 107)","(219, 107)",1.00000,1.00000,2,2,0.000004,0.00000
5,manhattan,"(26, 327)","(27, 326)",2.00000,2.00000,3,3,0.000007,0.00000
5,euclidean,"(26, 327)","(27, 326)",2.00000,2.00000,3,3,0.000008,0.00000
5,diagonal,"(26, 327)","(27, 326)",2.00000,2.00000,3,3,0.000007,0.00000
5,hybrid,"(26, 327)","(27, 326)",2.00000,2.00000,3,3,0.000009,0.00000
6,manhattan,"(147, 99)","(148, 99)",1.00000,1.00000,2,2,0.000005,0.00000
6,euclidean,"(147, 99)","(148, 99)",1.00000,1.00000,2,2,0.000004,0.00000
6,diagonal,"(147, 99)","(148, 99)",1.00000,1.00000,2,2,0.000004,0.00000
6,hybrid,"(147, 99)","(148, 99)",1.00000,1.00000,2,2,0.000003,0.00000
7,manhattan,"(69, 203)","(72, 203)",3.00000,3.00000,4,4,0.000008,0.00000
7,euclidean,"(69, 203)","(72, 203)",3.00000,3.00000,4,4,0.000007,0.00000
